fieldIndex, name, latitudeA, longitudeA, latitudeB, longitudeB ,latitudeC, longitudeC ,latitudeD, longitudeD
 38, 광양 전남드래곤즈연습구장1,34.94053043692344,127.71990807047648,34.941187371445565,127.720649006391,34.941612201268924,127.72009383839331,34.940955267359044,127.7193507128949
 39, 제주 고성리 복지회관 축구장,33.44338558645579,126.91200007262076,33.44429202181732,126.91199395709805,33.44429033918096,126.91125913924974,33.44337938409517,126.91126314119936
 40, 포항 스틸러스 연습구장B,36.21677803391525,129.35947016000068,36.21764608865618,129.35900680416432,36.21739127389099,129.35829216132316,36.21652296252992,129.35877220380266
 41,30,33.4453513386305,126.85441564218002,33.446142500964285,126.85513816746608,33.4465379457877,126.85451982190803,33.44574950810191,126.85380158244209
 42, 광양 전남드래곤즈연습구장(both),34.940552921111134,127.71994098278766,34.940552931111134,127.71994098278766,34.940552931111134,127.71994099278766,34.940552921111134,127.71994099278766
 43, SCG Muangthong United Soccer Field A Thailand,13.929113,100.54311,13.929835,100.542489,13.929471,100.542015,13.928761,100.542655
 44, Ratthatewa Village Soccer Field Thailand,13.657269,100.713121,13.657092,100.714132,13.657728,100.714226,13.657905,100.713236
 45, 함양공설운동장 주경기장,35.51870977401086,127.71749460157405,35.519722739815286,127.7172745509877,35.51962665953602,127.7165519020807,35.51861011214326,127.71675871740584
 46, 서귀포 효돈축구공원 천연잔디구장,33.25678141591271,126.61091749623024,33.25780512425201,126.61091571494654,33.257788672845024,126.61012895963687,33.25676686831809,126.61014468695345
 47, Asr Sports Soccer Field A Spain,40.7906,-4.23835,40.79125,-4.2389,40.79065,-4.2398,40.7902,-4.2392
 48, SCG Muangthong United Soccer Field B Thailand,13.93002,100.542333,13.930739,100.541724,13.930355,100.541256,13.929631,100.541868
 49, Asr Sports Soccer Field B Spain,40.79082,-4.23812,40.79136,-4.23722,40.79182,-4.23776,40.79128,-4.23868
 50, 서귀포 중문단지 축구장,33.23434337071388,126.4336318728237,33.23528151270719,126.4334358825846,33.235171264457556,126.43267520378133,33.234230372229916,126.43286586899518
 51, 제주종합경기장 주경기장,33.496598141229704,126.51377440142814,33.49748089635683,126.5142003744376,33.49771266347448,126.51351739643552,33.496838967320876,126.51309670899329
